Make_Model,Sadan,SUV,Hatchback,Convertible,Wagon,Coupe,Minivan,Drive Wheels (Available),Seating,Engine (liter),HP,Length (in),Width (in),Height (in),Wheelbase (in),Weight (lbs),Cargo Volume (cu ft.),Overall MPG,Lowest MSRP,Parent Company HQ
Porsche Cayenne,No,Yes,No,No,No,No,No,AWD,5,2.9,434,194,78,67,114,4680,32,21,65700,Germany
Porsche Macan,No,Yes,No,No,No,No,No,AWD,5,2,248,185,76,64,111,4410,29,19,49900,Germany
Porsche Panamera,No,No,Yes,No,No,No,No,"Rear, AWD",4,2.9,440,199,76,56,116,4125,17,23,86300,Germany
Subaru Accent,No,Yes,No,No,No,No,No,AWD,7,2.4,260,197,76,72,114,4550,40.5,22,31995,Japan
Subaru BRZ,No,No,No,No,No,Yes,No,Rear,4,2,200,167,70,51,101,2770,7,30,25795,Japan
Subaru Crosstrek,No,Yes,No,No,No,No,No,AWD,5,2,148,176,71,64,105,3190,27.5,29,21895,Japan
Subaru Forester,No,Yes,No,No,No,No,No,AWD,5,2.5,182,182,72,68,108,3485,36.5,28,24295,Japan
Subaru Impreza,Yes,No,No,No,Yes,No,No,AWD,5,2,152,182,70,57,105,2085,12,30,18595,Japan
Subaru Legacy,Yes,No,No,No,No,No,No,AWD,5,2.4,260,189,72,59,108,3499,15,31,24000,Japan
Subaru Outback,No,No,No,No,Yes,No,No,AWD,5,2.4,260,191,73,66,108,3634,32.5,29,26000,Japan
Subaru WRX,Yes,No,No,No,No,No,No,AWD,5,2,268,180,69,58,103,3320,11,26,27195,Japan
Tesla Model 3,Yes,No,No,No,No,No,No,"Rear, AWD",5,Electric,258,185,73,57,113,3895,15,130,39900,USA
Tesla Model 5,Yes,No,No,No,No,No,No,AWD,5,Electric,417,196,77,57,117,4595,32,102,75000,USA
Tesla Model X,No,Yes,No,No,No,No,No,AWD,6,Electric,417,198,82,64,117,5415,26,87,81000,USA
Toyota 4Runner,No,Yes,No,No,No,No,No,"Rear, AWD",7,4,270,190,76,72,110,4665,44.5,18,35310,Japan
Toyota 86,No,No,No,No,No,Yes,No,Rear,4,4,205,167,70,51,101,2770,7,30,26655,Japan
Toyota Avalon,Yes,No,No,No,No,No,No,Front,5,2.5,215,196,73,57,113,3680,16,42,35650,Japan
Toyota Camry,Yes,No,No,No,No,No,No,Front,5,2.5,203,192,72,57,111,3340,15,32,24095,Japan
Toyota C-HR,No,No,No,No,Yes,No,No,Front,5,2,144,171,71,62,104,3290,19.5,39,21145,Japan
Toyota Corolla,Yes,No,No,No,No,No,No,Front,5,1.8,121,183,70,57,106,2960,13,32,19500,Japan
Toyota Highlander,No,Yes,No,No,No,No,No,"Front, AWD",8,2.5,240,193,76,68,110,4134,13.6,22,32000,Japan
Toyota RAV4,No,Yes,No,No,No,No,No,"Front, AWD",5,2.5,203,181,73,67,106,3510,30.5,30,25650,Japan
Toyota Sequoia,No,Yes,No,No,No,No,No,"Rear, AWD",8,5.7,381,205,80,75,122,6025,61,15,49050,Japan
Toyota Sienna,No,No,No,No,No,No,Yes,"Front, AWD",8,3.5,296,201,78,71,119,4550,70.5,21,31415,Japan
Toyota Supra,No,No,Yes,No,No,No,No,Rear,2,3,335,173,73,51,97,3400,10,26,49990,Japan
Toyota Yaris,Yes,No,No,No,No,No,No,Front,5,1.5,106,172,67,59,101,2420,13,35,15600,Japan
